filename,location,num_annotators,time_h,time_min,time_sec,total_duration,washing_duration,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_0,ring,armband,long_nails,date,datetime,time_of_day_cat,day_type
2020-06-26_18-28-10_camera102.csv,Pauls Stradins,4,18,28,10,43.5,32.7,1.1,2.4,2.1,1.5,6.6,3.9,0.0,15.0,0,0,0,2020-06-26,2020-06-26 18:28:10,evening,weekday
2020-06-26_19-05-32_camera102.csv,Pauls Stradins,4,19,5,32,53.5,31.6,3.4,1.9,2.0,0.0,3.7,0.0,0.0,20.6,0,0,0,2020-06-26,2020-06-26 19:05:32,evening,weekday
2020-06-26_19-39-32_camera102.csv,Pauls Stradins,4,19,39,32,185.8,143.0,15.8,6.3,26.2,18.7,29.7,1.8,0.0,44.5,0,0,0,2020-06-26,2020-06-26 19:39:32,evening,weekday
2020-06-26_19-42-41_camera102.csv,Pauls Stradins,3,19,42,41,27.7,27.5,0.8,1.7,0.0,0.0,0.0,0.0,0.0,25.1,0,0,0,2020-06-26,2020-06-26 19:42:41,evening,weekday
2020-06-26_20-09-27_camera102.csv,Pauls Stradins,4,20,9,27,63.1,42.6,5.3,5.3,3.0,5.3,6.3,2.3,0.0,15.0,0,0,0,2020-06-26,2020-06-26 20:09:27,evening,weekday
2020-06-26_20-40-27_camera102.csv,Pauls Stradins,4,20,40,27,55.4,38.1,1.9,3.1,3.9,5.3,5.9,0.0,0.0,18.1,0,0,0,2020-06-26,2020-06-26 20:40:27,evening,weekday
2020-06-26_21-28-01_camera102.csv,Pauls Stradins,4,21,28,1,68.1,50.6,3.6,6.3,2.7,6.6,12.5,2.4,0.0,16.5,0,0,0,2020-06-26,2020-06-26 21:28:01,evening,weekday
2020-06-26_21-51-55_camera102.csv,Pauls Stradins,4,21,51,55,44.2,31.8,2.4,3.0,0.7,3.1,9.1,0.0,0.0,13.5,0,0,0,2020-06-26,2020-06-26 21:51:55,evening,weekday
2020-06-26_22-23-10_camera102.csv,Pauls Stradins,4,22,23,10,85.9,42.9,3.2,3.4,2.8,8.5,9.5,0.5,0.0,15.1,0,0,0,2020-06-26,2020-06-26 22:23:10,evening,weekday
2020-06-26_23-15-18_camera102.csv,Pauls Stradins,4,23,15,18,46.2,37.6,1.9,4.4,2.0,2.2,9.3,0.0,0.7,17.1,0,0,0,2020-06-26,2020-06-26 23:15:18,evening,weekday
2020-06-26_23-24-05_camera102.csv,Pauls Stradins,4,23,24,5,168.8,147.3,10.7,0.0,28.3,18.0,28.0,20.2,0.0,42.2,0,0,0,2020-06-26,2020-06-26 23:24:05,evening,weekday
2020-06-26_23-57-45_camera102.csv,Pauls Stradins,4,23,57,45,42.7,35.3,2.0,2.5,0.9,5.9,4.3,0.3,1.0,18.4,0,0,0,2020-06-26,2020-06-26 23:57:45,evening,weekday
2020-06-27_01-16-32_camera102.csv,Pauls Stradins,4,1,16,32,34.3,23.2,2.0,1.9,0.0,2.0,8.9,0.0,0.0,8.4,0,0,0,2020-06-27,2020-06-27 01:16:32,overnight,weekend
2020-06-27_02-12-36_camera102.csv,Pauls Stradins,3,2,12,36,72.8,55.0,3.0,6.8,2.5,3.1,5.0,0.5,1.6,32.5,0,0,0,2020-06-27,2020-06-27 02:12:36,overnight,weekend
2020-06-27_07-57-26_camera102.csv,Pauls Stradins,4,7,57,26,141.8,113.8,16.1,0.0,40.0,0.0,23.5,3.1,0.0,31.2,0,0,0,2020-06-27,2020-06-27 07:57:26,morning,weekend
2020-06-27_08-00-45_camera102.csv,Pauls Stradins,4,8,0,45,44.7,33.0,1.7,3.6,5.4,2.5,3.7,0.0,0.0,16.2,0,0,0,2020-06-27,2020-06-27 08:00:45,morning,weekend
2020-06-27_08-20-58_camera102.csv,Pauls Stradins,4,8,20,58,50.3,42.3,5.9,4.0,4.1,1.6,5.6,0.0,0.7,20.5,0,0,0,2020-06-27,2020-06-27 08:20:58,morning,weekend
2020-06-27_08-38-41_camera102.csv,Pauls Stradins,4,8,38,41,46.0,36.0,3.7,4.4,2.1,2.3,3.8,0.0,0.0,19.7,1,0,0,2020-06-27,2020-06-27 08:38:41,morning,weekend
2020-06-27_09-45-07_camera102.csv,Pauls Stradins,4,9,45,7,66.3,49.7,2.6,8.8,3.3,6.6,3.9,3.1,0.6,20.9,0,0,0,2020-06-27,2020-06-27 09:45:07,morning,weekend
2020-06-27_09-46-31_camera102.csv,Pauls Stradins,3,9,46,31,23.0,22.4,3.4,3.1,1.0,1.9,1.4,1.9,0.0,9.6,0,0,0,2020-06-27,2020-06-27 09:46:31,morning,weekend
2020-06-27_10-48-37_camera102.csv,Pauls Stradins,4,10,48,37,115.7,97.5,5.6,12.6,4.7,6.4,12.8,12.6,2.3,40.6,0,0,0,2020-06-27,2020-06-27 10:48:37,morning,weekend
2020-06-27_11-59-31_camera102.csv,Pauls Stradins,4,11,59,31,72.3,62.9,1.5,5.1,3.5,0.0,3.6,4.4,0.6,44.2,1,0,0,2020-06-27,2020-06-27 11:59:31,morning,weekend
2020-06-27_13-21-12_camera102.csv,Pauls Stradins,4,13,21,12,88.9,76.7,7.2,12.6,0.4,4.7,10.0,7.1,2.2,32.4,0,0,0,2020-06-27,2020-06-27 13:21:12,afternoon,weekend
2020-06-27_13-43-00_camera102.csv,Pauls Stradins,4,13,43,0,34.0,17.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0,0,0,2020-06-27,2020-06-27 13:43:00,afternoon,weekend
2020-06-27_15-09-50_camera102.csv,Pauls Stradins,4,15,9,50,96.5,82.2,5.2,11.8,8.7,8.1,6.3,8.0,0.2,33.8,0,0,0,2020-06-27,2020-06-27 15:09:50,afternoon,weekend
